Symbol,NSAF_SpC_ratio,hESC_Ln_NSAF,hNSC_Ln_NSAF,t_test_p,color
NSFL1C,0.90357435,-7.666329846,-7.564932965,0.434232981,gray
NSMAF,2.835814509,-12.37442278,-13.41675198,,gray
NSMCE1,0.342018661,-11.46417418,-10.3912842,0.293535967,gray
NSMCE4A,0.914569846,-11.58232492,-11.49302348,,gray
NSUN2,1.263463572,-8.064172981,-8.298029798,0.053811315,gray
NSUN3,1.238656992,-12.77456744,-12.98859517,,gray
NSUN4,0.58830961,-11.23965965,-10.70915773,0.593569596,gray
NSUN5,2.18012309,-9.499493458,-10.2788748,0.113409705,gray
NSUN6,1.238656992,-13.09622399,-13.31025172,,gray
NT5C,0.261527889,-10.13961564,-8.798401292,0.003358892,blue
NT5C2,1.585174245,-9.465242176,-9.925936512,0.27612949,gray
NT5C3,2.825537416,-10.41661409,-11.45531267,0.020795371,red
NT5DC1,0.802494094,-8.902358871,-8.682328087,0.21943125,gray
NT5DC2,0.646954998,-9.226017209,-8.790538667,0.243850224,gray
NT5DC3,1.560610588,-13.02084862,-13.46592577,,gray
NTAN1,1.966245412,-11.52695202,-12.20307786,,gray
NTHL1,2.51124835,-10.6914734,-11.61225339,0.037391014,red
NTSR2,0.780305009,-13.19283105,-12.94476065,,gray
NUAK2,0.491561023,-13.68692991,-12.97676072,,gray
NUB1,0.303595369,-11.65106921,-10.45900972,0.214321972,gray
NUBP1,0.784898146,-9.341723498,-9.099522178,0.01965914,green
NUBP2,1.370384352,-9.865878988,-10.18097024,0.490916013,gray
NUBPL,1.43733488,-10.80955246,-11.17234308,0.106322153,gray
NUCB1,0.715163706,-9.063782572,-8.728538769,0.437081856,gray
NUCB2,0.152435213,-10.96306943,-9.082053827,0.008482809,blue
NUCKS1,0.21148511,-10.68130589,-9.127705204,0.286279553,gray
NUDC,1.312181479,-7.281359887,-7.55305089,0.039460241,green
NUDCD1,1.120415742,-8.81754639,-8.931246205,0.591235682,gray
NUDCD2,1.068136063,-8.373646148,-8.439561281,0.770319155,gray
NUDCD3,0.911240836,-9.028969664,-8.936021612,0.55104034,gray
